USAToday NBA Salaries 2008-09,,,,,,,,
,,,,,,,,
Last Name,First Name,City,Team,Annual Salary,Contract Yrs,Contract Amt,Contract Thru,Position
  Bibby, Mike,Atlanta,Hawks,14983603,1,14983603,2008-09,G
  Brand, Elton,Philadelphia,76ers,13757844,5,82170000,2012-13,F
  Bryant, Kobe,Los Angeles,Angeles,21262500,7,136400000,2010-11 (p),G
  Duncan, Tim,San Antonio,Spurs,20598704,2,40000000,2008-09,F-C
  Ellis, Monta,Golden State,Warriors,11000000,6,66000000,2013-14,G
  LaFrentz, Raef,Portland,Trail Blazers,12722500,7,69974000,2008-09,C-F
  Martin, Kenyon,Denver,Nuggets,14431818,7,91000000,2010-11,F
  Murphy, Troy,Indiana,Pacers,10126984,6,58000000,2010-11,F-C
  Redd, Michael,Milwaukee,Bucks,15780000,6,90000000,2010-11 (p),G
  Stojakovic, Peja,New Orleans,Hornets,12528000,5,64000000,2010-11,F
  Wallace, Ben,Cleveland,Cavaliers,14500000,4,60000000,2009-10,F-C
   Abdur-Rahim, Shareef,Sacramento,Kings,6200000,2,12800000,2009-10,F
   Acker, Alex,Los Angeles,Clippers,711517,1,711517,2008-09,G
   Adam, Morrison,Los Angeles,Angeles,4159200,2,7504560,2007-08,F
   Adams , Hassan,Los Angeles,Clippers,301348,1,301348,2008-09,G
   Afflalo, Arron,Detroit,Pistons,1015440,5,5952253,2011-12 (t),G
   Ager , Maurice,New Jersey,Nets,1042440,4,4800000,2009-10 (t),F-G
   Ahearn, Blake,San Antonio,Spurs,205084,1,205084,2008-09,G
   Ajinca, Alexis,Charlotte,Bobcats,1276320,5,9623114,2012-13,C
   Aldridge , LaMarcus,Portland,Trail Blazers,4631400,4,18833000,2009-10 (t),F-C
   Alexander, Joe,Milwaukee,Bucks,2403120,5,16003932,2012-13,F
   Allen, Ray,Boston,Celtics,18388430,5,80000000,2009-10,G
   Allen, Tony,Boston,Celtics,2500000,5,5000000,2009-10,G
   Allen, Malik,Milwaukee,Bucks,1500000,2,3000000,2009-10,F
   Almond, Morris,Utah,Jazz,1081440,3,2087400,2009-10,G
   Alston, Rafer,Houston,Rockets,4900000,6,26250000,2009-10,G
   Amundson , Louis,Phoenix,Suns,797581,1,687456,2007-08(t),F
   Andersen, Chris,Denver,Nuggets,998000,1,998000,2008-09,F-C
   Anderson, Ryan,New Jersey,Nets,1225200,5,9430431,2012-13,F
   Anthony, Carmelo,Denver,Nuggets,14410581,5,80000000,2011-12,F
   Anthony, Joel,Miami,Heat,711517,3,1138680,2009-10,C
   Ariza, Trevor,Los Angeles,Angeles,3100000,3,9300000,2008-09 (p),F
   Armstrong , Hilton,New Orleans,Hornets,2032800,4,8502000,2009-10 (t),C-F
   Artest, Ron,Houston,Rockets,7400000,6,42000000,2008-09 (p),F
   Arthur, Darrell,Memphis,Grizzlies,977160,5,8184656,2012-13,F
   Atkins, Chucky,Oklahoma City,Thunder,3240000,2,6600000,2008-09 (t),G
   Augustin, D.J.,Charlotte,Bobcats,2208960,5,14745926,2012-13,G
   Azubuike , Kelenna,Golden State,Warriors,2900000,3,9000000,2010-11,F-G
   Balkman , Renaldo,Denver,Nuggets,1369920,4,5870000,2009-10 (t),F
   Banks, Marcus,Toronto,Raptors,4260000,5,21000000,2010-11,G
   Barbosa, Leandro,Phoenix,Suns,6100000,5,33000000,2010-11 (p),G
