teamold,record,winpercent,seasonstart,seasonend,team
Hawks,24-58,0.293,2017,2018,Hawks
Hawks,43-39,0.524,2016,2017,Hawks
Hawks,48-34,0.585,2015,2016,Hawks
Hawks,60-22,0.732,2014,2015,Hawks
Hawks,38-44,0.463,2013,2014,Hawks
Hawks,44-38,0.537,2012,2013,Hawks
Hawks,40-26,0.606,2011,2012,Hawks
Hawks,44-38,0.537,2010,2011,Hawks
Hawks,53-29,0.646,2009,2010,Hawks
Hawks,47-35,0.573,2008,2009,Hawks
Hawks,37-45,0.451,2007,2008,Hawks
Hawks,30-52,0.366,2006,2007,Hawks
Hawks,26-56,0.317,2005,2006,Hawks
Hawks,13-69,0.159,2004,2005,Hawks
Hawks,28-54,0.341,2003,2004,Hawks
Hawks,35-47,0.427,2002,2003,Hawks
Hawks,33-49,0.402,2001,2002,Hawks
Hawks,25-57,0.305,2000,2001,Hawks
Hawks,28-54,0.341,1999,2000,Hawks
Hawks,31-19,0.62,1998,1999,Hawks
Hawks,50-32,0.61,1997,1998,Hawks
Hawks,56-26,0.683,1996,1997,Hawks
Hawks,46-36,0.561,1995,1996,Hawks
Hawks,42-40,0.512,1994,1995,Hawks
Hawks,57-25,0.695,1993,1994,Hawks
Hawks,43-39,0.524,1992,1993,Hawks
Hawks,38-44,0.463,1991,1992,Hawks
Hawks,43-39,0.524,1990,1991,Hawks
Hawks,41-41,0.5,1989,1990,Hawks
Hawks,52-30,0.634,1988,1989,Hawks
Hawks,50-32,0.61,1987,1988,Hawks
Hawks,57-25,0.695,1986,1987,Hawks
Hawks,50-32,0.61,1985,1986,Hawks
Hawks,34-48,0.415,1984,1985,Hawks
Hawks,40-42,0.488,1983,1984,Hawks
Hawks,43-39,0.524,1982,1983,Hawks
Hawks,42-40,0.512,1981,1982,Hawks
Hawks,31-51,0.378,1980,1981,Hawks
Celtics,55-27,0.671,2017,2018,Celtics
Celtics,53-29,0.646,2016,2017,Celtics
Celtics,48-34,0.585,2015,2016,Celtics
Celtics,40-42,0.488,2014,2015,Celtics
Celtics,25-57,0.305,2013,2014,Celtics
Celtics,41-40,0.506,2012,2013,Celtics
Celtics,39-27,0.591,2011,2012,Celtics
Celtics,56-26,0.683,2010,2011,Celtics
Celtics,50-32,0.61,2009,2010,Celtics
Celtics,62-20,0.756,2008,2009,Celtics
Celtics,66-16,0.805,2007,2008,Celtics
Celtics,24-58,0.293,2006,2007,Celtics
Celtics,33-49,0.402,2005,2006,Celtics
Celtics,45-37,0.549,2004,2005,Celtics
Celtics,36-46,0.439,2003,2004,Celtics
Celtics,44-38,0.537,2002,2003,Celtics
