team,revenue,seasonstart
Lakers,144000000,2000
Knicks,157000000,2000
Bulls,117000000,2000
Blazers,101000000,2000
76ers,103000000,2000
Suns,102000000,2000
Heat,99000000,2000
Rockets,81000000,2000
Pacers,89000000,2000
Pistons,92000000,2000
Jazz,88000000,2000
Spurs,82000000,2000
Celtics,81000000,2000
Wizards,81000000,2000
Mavericks,68000000,2000
Kings,87000000,2000
Cavaliers,75000000,2000
Thunder,80000000,2000
Hawks,76000000,2000
Nuggets,72000000,2000
Timberwolves,77000000,2000
Magic,76000000,2000
Raptors,75000000,2000
Clippers,68000000,2000
Nets,73000000,2000
Warriors,69000000,2000
Grizzlies,53000000,2000
Bucks,65000000,2000
Hornets,65000000,2000
Lakers,152000000,2001
Knicks,156000000,2001
Bulls,115000000,2001
Mavericks,105000000,2001
76ers,106000000,2001
Wizards,99000000,2001
Celtics,96000000,2001
Suns,107000000,2001
Blazers,96000000,2001
Kings,102000000,2001
Pistons,95000000,2001
Rockets,82000000,2001
Heat,96000000,2001
Pacers,91000000,2001
Spurs,83000000,2001
Jazz,87000000,2001
Cavaliers,79000000,2001
Nets,91000000,2001
Raptors,87000000,2001
Timberwolves,85000000,2001
Nuggets,75000000,2001
Thunder,77000000,2001
Hawks,79000000,2001
Clippers,73000000,2001
Grizzlies,66000000,2001
Magic,82000000,2001
Warriors,71000000,2001
Hornets,64000000,2001
Bucks,67000000,2001
Lakers,149000000,2002
Knicks,160000000,2002
Bulls,119000000,2002
Mavericks,117000000,2002
76ers,109000000,2002
Celtics,97000000,2002
Pistons,102000000,2002
Spurs,105000000,2002
Suns,109000000,2002
Pacers,94000000,2002
Rockets,82000000,2002
Kings,102000000,2002
Wizards,98000000,2002
Blazers,97000000,2002
Cavaliers,72000000,2002
Raptors,96000000,2002
Nets,94000000,2002
Jazz,85000000,2002
Heat,91000000,2002
Timberwolves,85000000,2002
Grizzlies,63000000,2002
Nuggets,75000000,2002
Pelicans,80000000,2002
Clippers,72000000,2002
Hawks,78000000,2002
Magic,80000000,2002
Thunder,70000000,2002
Warriors,70000000,2002
Bucks,70000000,2002
Lakers,170000000,2003
Knicks,170000000,2003
Mavericks,117000000,2003
Rockets,125000000,2003
Bulls,123000000,2003
Pistons,121000000,2003
Suns,111000000,2003
76ers,107000000,2003
Celtics,104000000,2003
Kings,118000000,2003
Spurs,108000000,2003
Pacers,104000000,2003
Cavaliers,93000000,2003
Raptors,100000000,2003
Nets,93000000,2003
Timberwolves,97000000,2003
Heat,93000000,2003
Wizards,94000000,2003
Nuggets,89000000,2003
Jazz,88000000,2003
Blazers,88000000,2003
Grizzlies,75000000,2003
Hawks,83000000,2003
Warriors,76000000,2003
Pelicans,80000000,2003
Clippers,77000000,2003
Magic,78000000,2003
Thunder,73000000,2003
Bucks,77000000,2003
Knicks,181000000,2004
Lakers,156000000,2004
Rockets,141000000,2004
Bulls,136000000,2004
Mavericks,124000000,2004
Pistons,134000000,2004
Suns,132000000,2004
Heat,119000000,2004
Cavaliers,102000000,2004
Celtics,110000000,2004
76ers,110000000,2004
Spurs,121000000,2004
Kings,119000000,2004
Pacers,108000000,2004
Wizards,106000000,2004
Timberwolves,101000000,2004
Hornets,73000000,2004
Grizzlies,98000000,2004
Nuggets,94000000,2004
Raptors,94000000,2004
Jazz,91000000,2004
Nets,87000000,2004
Hawks,87000000,2004
Clippers,83000000,2004
Magic,82000000,2004
Warriors,81000000,2004
Thunder,81000000,2004
Bucks,78000000,2004
Blazers,78000000,2004
Pelicans,78000000,2004
Knicks,185000000,2005
Lakers,167000000,2005
Mavericks,140000000,2005
Bulls,149000000,2005
Rockets,142000000,2005
Pistons,138000000,2005
Suns,132000000,2005
Heat,132000000,2005
Spurs,122000000,2005
Cavaliers,115000000,2005
Kings,126000000,2005
76ers,110000000,2005
Celtics,111000000,2005
Pacers,110000000,2005
Wizards,108000000,2005
Nets,93000000,2005
Raptors,105000000,2005
Grizzlies,101000000,2005
Nuggets,100000000,2005
Timberwolves,103000000,2005
Jazz,96000000,2005
Clippers,95000000,2005
Magic,89000000,2005
Hornets,89000000,2005
Hawks,92000000,2005
Thunder,81000000,2005
Warriors,89000000,2005
