league,playerid,salary,seasonstart,seasonend,teamold,team
NBA,abdelal01,395000,1990,1991,Portland Trail Blazers,Blazers
NBA,abdelal01,494000,1991,1992,Portland Trail Blazers,Blazers
NBA,abdelal01,500000,1992,1993,Boston Celtics,Celtics
NBA,abdelal01,805000,1993,1994,Boston Celtics,Celtics
NBA,abdelal01,650000,1994,1995,Sacramento Kings,Kings
NBA,abdulka01,1530000,1984,1985,Los Angeles Lakers,Lakers
NBA,abdulka01,2030000,1985,1986,Los Angeles Lakers,Lakers
NBA,abdulka01,2000000,1987,1988,Los Angeles Lakers,Lakers
NBA,abdulka01,3000000,1988,1989,Los Angeles Lakers,Lakers
NBA,abdulma02,1660000,1990,1991,Denver Nuggets,Nuggets
NBA,abdulma02,2008000,1991,1992,Denver Nuggets,Nuggets
NBA,abdulma02,2358000,1992,1993,Denver Nuggets,Nuggets
NBA,abdulma02,1825000,1993,1994,Denver Nuggets,Nuggets
NBA,abdulma02,2200000,1994,1995,Denver Nuggets,Nuggets
NBA,abdulma02,2600000,1995,1996,Denver Nuggets,Nuggets
NBA,abdulma02,3100000,1996,1997,Sacramento Kings,Kings
NBA,abdulma02,3300000,1997,1998,Sacramento Kings,Kings
NBA,abdulma02,798500,2000,2001,Vancouver Grizzlies,Grizzlies
NBA,abdulta01,1226880,1997,1998,Sacramento Kings,Kings
NBA,abdulta01,1411000,1998,1999,Sacramento Kings,Kings
NBA,abdulta01,1594920,1999,2000,Denver Nuggets,Nuggets
NBA,abdulta01,4500000,2000,2001,Denver Nuggets,Nuggets
NBA,abdulta01,5062500,2001,2002,Denver Nuggets,Nuggets
NBA,abdulta01,5625000,2002,2003,Dallas Mavericks,Mavericks
NBA,abdulta01,6187500,2003,2004,Dallas Mavericks,Mavericks
NBA,abdulta01,6750000,2004,2005,Dallas Mavericks,Mavericks
NBA,abdulta01,3656250,2005,2006,Dallas Mavericks,Mavericks
NBA,abdulta01,1968750,2006,2007,Dallas Mavericks,Mavericks
NBA,abdursh01,2186000,1996,1997,Vancouver Grizzlies,Grizzlies
NBA,abdursh01,9000000,1999,2000,Vancouver Grizzlies,Grizzlies
NBA,abdursh01,10130000,2000,2001,Vancouver Grizzlies,Grizzlies
NBA,abdursh01,11250000,2001,2002,Atlanta Hawks,Hawks
NBA,abdursh01,12375000,2002,2003,Atlanta Hawks,Hawks
NBA,abdursh01,13500000,2003,2004,Atlanta Hawks,Hawks
NBA,abdursh01,14625000,2004,2005,Portland Trail Blazers,Blazers
NBA,abdursh01,5000000,2005,2006,Sacramento Kings,Kings
NBA,abdursh01,5400000,2006,2007,Sacramento Kings,Kings
NBA,abdursh01,5800000,2007,2008,Sacramento Kings,Kings
NBA,abdursh01,6600000,2009,2010,Sacramento Kings,Kings
NBA,abrinal01,5994764,2016,2017,Oklahoma City Thunder,Thunder
NBA,abrinal01,5725000,2017,2018,Oklahoma City Thunder,Thunder
NBA,ackeral01,398762,2005,2006,Detroit Pistons,Pistons
NBA,ackeral01,839209,2006,2007,Detroit Pistons,Pistons
NBA,ackeral01,711517,2008,2009,Los Angeles Clippers,Clippers
NBA,acresma01,75000,1987,1988,Boston Celtics,Celtics
NBA,acresma01,300000,1988,1989,Boston Celtics,Celtics
NBA,acresma01,437000,1990,1991,Orlando Magic,Magic
NBA,acresma01,547000,1991,1992,Orlando Magic,Magic
NBA,acresma01,250000,1992,1993,Houston Rockets,Rockets
NBA,acyqu01,665000,2012,2013,Toronto Raptors,Raptors
NBA,acyqu01,788872,2013,2014,Toronto Raptors,Raptors
NBA,acyqu01,915243,2014,2015,New York Knicks,Knicks
NBA,acyqu01,981348,2015,2016,Sacramento Kings,Kings
NBA,acyqu01,1914544,2016,2017,Brooklyn Nets,Nets
NBA,acyqu01,1050961,2016,2017,Dallas Mavericks,Mavericks
NBA,acyqu01,1709538,2017,2018,Brooklyn Nets,Nets
NBA,adamsal01,500000,1984,1985,Phoenix Suns,Suns
NBA,adamsal01,600000,1985,1986,Phoenix Suns,Suns
NBA,adamsal01,675000,1987,1988,Phoenix Suns,Suns
NBA,adamsha01,412718,2006,2007,New Jersey Nets,Nets
NBA,adamsha01,297163,2008,2009,Los Angeles Clippers,Clippers
NBA,adamsjo01,1344120,2014,2015,Memphis Grizzlies,Grizzlies
NBA,adamsjo01,1404600,2015,2016,Memphis Grizzlies,Grizzlies
NBA,adamsjo01,1465080,2016,2017,Memphis Grizzlies,Grizzlies
NBA,adamsmi01,85000,1985,1986,Sacramento Kings,Kings
NBA,adamsmi01,160000,1987,1988,Denver Nuggets,Nuggets
NBA,adamsmi01,375000,1988,1989,Denver Nuggets,Nuggets
NBA,adamsmi01,825000,1990,1991,Denver Nuggets,Nuggets
